2025-06-02 13:12:41,615 - INFO - Server started on localhost:8888
2025-06-02 13:13:24,225 - ERROR - Server error: [WinError 10048] Only one usage of each socket address (protocol/network address/port) is normally permitted
2025-06-02 13:13:24,225 - INFO - Server shutdown complete
2025-06-02 20:16:35,134 - INFO - Client ('127.0.0.1', 56855) connected. Total clients: 2
2025-06-02 20:16:51,264 - INFO - Move added at (7, 12)
2025-06-02 20:17:19,389 - INFO - Client ('127.0.0.1', 56851) disconnected
2025-06-02 20:17:19,389 - INFO - Removed client ('127.0.0.1', 56851). Total clients: 1
2025-06-02 20:17:19,389 - INFO - Connection closed for ('127.0.0.1', 56851)
2025-06-02 20:17:23,794 - INFO - Client ('127.0.0.1', 56855) disconnected
2025-06-02 20:17:23,794 - INFO - Removed client ('127.0.0.1', 56855). Total clients: 0
2025-06-02 20:17:23,794 - INFO - Connection closed for ('127.0.0.1', 56855)
2025-06-02 20:19:28,403 - INFO - Server started on localhost:8888
2025-06-02 20:19:30,629 - INFO - New connection from ('127.0.0.1', 56873)
2025-06-02 20:19:30,629 - INFO - Client ('127.0.0.1', 56873) connected. Total clients: 1
2025-06-02 20:19:41,514 - INFO - New connection from ('127.0.0.1', 56874)
2025-06-02 20:19:41,514 - INFO - Client ('127.0.0.1', 56874) connected. Total clients: 2
2025-06-02 20:20:01,007 - INFO - Move added at (7, 12)
2025-06-02 20:20:30,895 - INFO - Move added at (13, 12)
2025-06-02 20:20:53,744 - INFO - Move added at (12, 13)
2025-06-02 20:21:03,394 - INFO - Move added at (12, 10)
2025-06-02 20:21:39,614 - INFO - Client ('127.0.0.1', 56873) disconnected
2025-06-02 20:21:39,614 - INFO - Removed client ('127.0.0.1', 56873). Total clients: 1
2025-06-02 20:21:39,623 - INFO - Connection closed for ('127.0.0.1', 56873)
2025-06-02 20:21:50,918 - INFO - New connection from ('127.0.0.1', 56889)
2025-06-02 20:21:50,918 - INFO - Client ('127.0.0.1', 56889) connected. Total clients: 2
2025-06-02 20:22:08,253 - INFO - Move added at (6, 7)
2025-06-02 20:22:54,963 - INFO - Client ('127.0.0.1', 56874) disconnected
2025-06-02 20:22:54,963 - INFO - Removed client ('127.0.0.1', 56874). Total clients: 1
2025-06-02 20:22:54,963 - INFO - Connection closed for ('127.0.0.1', 56874)
2025-06-02 20:22:58,793 - INFO - Client ('127.0.0.1', 56889) disconnected
2025-06-02 20:22:58,793 - INFO - Removed client ('127.0.0.1', 56889). Total clients: 0
2025-06-02 20:22:58,793 - INFO - Connection closed for ('127.0.0.1', 56889)
2025-06-02 20:24:04,258 - INFO - New connection from ('127.0.0.1', 56912)
2025-06-02 20:24:04,258 - INFO - Client ('127.0.0.1', 56912) connected. Total clients: 1
2025-06-02 20:24:13,013 - INFO - New connection from ('127.0.0.1', 56914)
2025-06-02 20:24:13,013 - INFO - Client ('127.0.0.1', 56914) connected. Total clients: 2
2025-06-02 20:24:32,498 - INFO - Move added at (7, 12)
2025-06-02 20:24:51,038 - INFO - Move added at (13, 12)
2025-06-02 20:24:59,268 - INFO - Client ('127.0.0.1', 56912) disconnected
2025-06-02 20:24:59,275 - INFO - Removed client ('127.0.0.1', 56912). Total clients: 1
2025-06-02 20:24:59,275 - INFO - Connection closed for ('127.0.0.1', 56912)
2025-06-02 20:26:17,390 - INFO - New connection from ('127.0.0.1', 56922)
2025-06-02 20:26:17,390 - INFO - Client ('127.0.0.1', 56922) connected. Total clients: 2
2025-06-02 20:26:31,279 - INFO - Move added at (7, 12)
2025-06-02 20:27:12,909 - INFO - Client ('127.0.0.1', 56922) disconnected
2025-06-02 20:27:12,909 - INFO - Removed client ('127.0.0.1', 56922). Total clients: 1
2025-06-02 20:27:12,918 - INFO - Connection closed for ('127.0.0.1', 56922)
2025-06-02 20:33:09,139 - INFO - New connection from ('127.0.0.1', 57031)
2025-06-02 20:33:09,139 - INFO - Client ('127.0.0.1', 57031) connected. Total clients: 2
2025-06-02 20:33:29,469 - INFO - Move added at (7, 12)
2025-06-02 20:33:30,129 - INFO - Move added at (7, 2)
2025-06-02 20:33:40,759 - INFO - Move added at (8, 9)
2025-06-02 20:33:43,179 - INFO - Move added at (9, 9)
2025-06-02 20:34:01,969 - INFO - Move added at (7, 7)
2025-06-02 20:34:31,859 - INFO - Move added at (13, 13)
2025-06-02 20:43:17,073 - INFO - Client ('127.0.0.1', 57031) disconnected
2025-06-02 20:43:17,083 - INFO - Removed client ('127.0.0.1', 57031). Total clients: 1
2025-06-02 20:43:17,083 - INFO - Connection closed for ('127.0.0.1', 57031)
2025-06-02 20:45:13,945 - INFO - New connection from ('127.0.0.1', 57138)
2025-06-02 20:45:13,945 - INFO - Client ('127.0.0.1', 57138) connected. Total clients: 2
2025-06-02 20:45:39,210 - WARNING - Rejected connection from ('127.0.0.1', 57153): Game full
2025-06-02 20:46:06,711 - INFO - Move added at (7, 2)
2025-06-02 20:46:39,641 - WARNING - Rejected connection from ('127.0.0.1', 57157): Game full
2025-06-02 20:47:05,191 - INFO - Client ('127.0.0.1', 56914) disconnected
2025-06-02 20:47:05,191 - INFO - Removed client ('127.0.0.1', 56914). Total clients: 1
2025-06-02 20:47:05,191 - INFO - Connection closed for ('127.0.0.1', 56914)
2025-06-02 20:47:26,711 - INFO - New connection from ('127.0.0.1', 57160)
2025-06-02 20:47:26,711 - INFO - Client ('127.0.0.1', 57160) connected. Total clients: 2
2025-06-02 20:47:42,475 - INFO - Client ('127.0.0.1', 57138) disconnected
2025-06-02 20:47:42,475 - INFO - Removed client ('127.0.0.1', 57138). Total clients: 1
